Date,Chat
"10/03/24, 09:19",shivareddy: 1. When did you eat dinner last night?   8:30 2. When did you sleep last night?    10:30 3. When did you wake up today morning?  9:00 4. How many hours did you sleep?  10:30
"11/03/24, 05:12",shivareddy: 1. When did you eat dinner last night? 7:30 2. When did you sleep last night? 11 3. When did you wake up today morning? 5 4. How many hours did you sleep? 6
"12/03/24, 05:30",shivareddy: 1. When did you eat dinner last night?  7: 45 2. When did you sleep last night?   9: 30 3. When did you wake up today morning?  5:00 Am 4. How many hours did you sleep? 7:30 hrs
"13/03/24, 06:01",shivareddy: 1. When did you eat dinner last night? 7:30 2. When did you sleep last night? 10pm 3. When did you wake up today morning? 6 am 4. How many hours did you sleep? 8 hrs
"14/03/24, 07:14",shivareddy: 1. When did you eat dinner last night?  8 pm 2. When did you sleep last night?  10pm 3. When did you wake up today morning? 7 am 4. How many hours did you sleep? 9 hrs
"15/03/24, 06:38",shivareddy: 1. When did you eat dinner last night? 9:30 2. When did you sleep last night?  10:30 3. When did you wake up today morning? 5:30 4. How many hours did you sleep? 7 hrs
"16/03/24, 08:02",shivareddy: 1. When did you eat dinner last night? 7:30 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 8:00 4. How many hours did you sleep? 11 hrs
"17/03/24, 07:57",shivareddy: 1. When did you eat dinner last night?  7:30 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 9hrs
"18/03/24, 06:04",shivareddy: 1. When did you eat dinner last night?  9:00 2. When did you sleep last night? 11:30 3. When did you wake up today morning? 6am 4. How many hours did you sleep?6:30
"19/03/24, 07:06",shivareddy: 1. When did you eat dinner last night? 9:30 2. When did you sleep last night? 11 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 7:30
"20/03/24, 06:46",shivareddy: 1. When did you eat dinner last night? Not 2. When did you sleep last night?   9:30 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 9hrs
"21/03/24, 06:41",shivareddy: 1. When did you eat dinner last night?  8 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 5 4. How many hours did you sleep? 7:30
"22/03/24, 05:08",shivareddy: 1. When did you eat dinner last night?8:30 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 5:00 4. How many hours did you sleep? 6:30
"23/03/24, 06:56",shivareddy: 1. When did you eat dinner last night? 7:30 2. When did you sleep last night? 9:30 3. When did you wake up today morning?6:30 4. How many hours did you sleep?9:00
"24/03/24, 08:36",shivareddy: 1. When did you eat dinner last night? 8:30 2. When did you sleep last night? 11:30 3. When did you wake up today morning? 8:30 4. How many hours did you sleep?9hrs
"25/03/24, 07:52",shivareddy: 1. When did you eat dinner last night? 6:30 2. When did you sleep last night? 11 3. When did you wake up today morning? 7:45 4. How many hours did you sleep?8:45
"26/03/24, 07:08",shivareddy: 1. When did you eat dinner last night? 8:30 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 8
"27/03/24, 05:42",shivareddy: 1. When did you eat dinner last night? 5 2. When did you sleep last night?  9:00 3. When did you wake up today morning? 5:00 4. How many hours did you sleep? 8hrs
